"TextID","TextTitle","Text_Author","Text_year_creation","Text_genre"
1,"Война мир","Лев Николаевич Толстой",1863,"роман"
2,"Анна Каренина","Лев Николаевич Толстой",1873,"роман"
3,"Севастопольские рассказы","Лев Николаевич Толстой",1855,"рассказ"
4,"Братья Карамазовы","Фёдор Михайлович Достоевский",1878,"роман"
5,"Преступление и наказание","Фёдор Михайлович Достоевский",1865,"роман"
6,"Идиот","Фёдор Михайлович Достоевский",1868,"роман"
7,"Отцы и дет","Иван Сергеевич Тургенев",1860,"роман"
8,"Дворянское гнездо","Иван Сергеевич Тургенев",1860,"роман"
9,"Дым","Иван Сергеевич Тургенев",1865,"роман"
10,"Тихий Дон","Михаил Александрович Шолохов",1925,"роман-эпопея"
11,"Конармия","Исаак Эммануилович Бабель",1923,"рассказ"
12,"Мать","Максим Горький",1906,"роман"
13,"Жизнь Клима Самгина","Максим Горький",1937,"роман"
14,"Фома Гордеев","Максим Горький",1899,"роман"
15,"Другие берега","Владимир Владимирович Набоков",1954,"автобиография"
16,"Дар","Владимир Владимирович Набоков",1935,"роман"
17,"Приглашение на казнь","Владимир Владимирович Набоков",1934,"роман"
18,"Собрание повестей и рассказов в одном томе","Фёдор Михайлович Достоевский",1845,"рассказ"
19,"Полное собрание рассказов","Владимир Владимирович Набоков",1950,"рассказ"
20,"На дне","Максим Горький",1901,"пьеса"
21,"Легенды и мифы Древней Греции","Николай Альбертович Кун",1922,"мифы"
22,"Вишневый сад","Антон Павлович Чехов",1904,"пьеса"
23,"Суламифь","Александр Иванович Куприн",1911,"повесть"
24,"Яма","Александр Иванович Куприн",1915,"повесть"
25,"Гранатовый браслет","Александр Иванович Куприн",1910,"повесть"
26,"Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой",1927,"рассказ"
27,"Хождение по мукам","Алексей Николаевич Толстой",1941,"роман"
28,"Аэлита","Алексей Николаевич Толстой",1923,"роман"
29,"Петр Первый","Алексей Николаевич Толстой",1945,"роман"
30,"Голова профессора Доуэля","Александр Романович Беляев",1925,"роман"
31,"Мы (сборник)","Евгений Иванович Замятин",1920,"роман"
32,"Человек-амфибия (сборник)","Александр Романович Беляев",1928,"роман"
33,"Темные аллеи","Иван Алексеевич Бунин",1938,"рассказ"
34,"Уральские сказы","Павел Петрович Бажов",1950,"сказка"
35,"Алые паруса","Александр Степанович Грин",1922,"повесть"
36,"Чапаев","Дмитрий Андреевич Фурманов",1923,"роман"
37,"Белая гвардия","Михаил Афанасьевич Булгаков",1924,"роман"
38,"Собачье сердце","Михаил Афанасьевич Булгаков",1925,"повесть"
39,"Мастер и Маргарита","Михаил Афанасьевич Булгаков",1940,"роман"
40,"Адам и Ева","Михаил Афанасьевич Булгаков",1931,"пьеса"
43,"Иван Васильевич/","Михаил Афанасьевич Булгаков",1936,"пьеса"
44,"Как закалялась сталь","Николай Алексеевич Островский",1934,"роман"
45,"Республика ШКИД","Григорий Георгиевич Белых",1926,"повесть"
46,"Дерсу Узала","Владимир Клавдиевич Арсеньев",1923,"повесть"
47,"Лето Господне","Иван Сергеевич Шмелев",1948,"роман"
48,"Двенадцать стульев","Илья Ильф, Евгений Петров",1928,"роман"
49,"Угрюм-река","Вячеслав Яковлевич Шишков",1933,"роман"
50,"Золотой теленок","Илья Ильф, Евгений Петров",1931,"роман"
51,"Педагогическая поэма","Антон Семенович Макаренко",1931,"роман"
52,"Цусима","Алексей Силыч Новиков-Прибой",1932,"роман"
53,"Москва и москвичи","Владимир Алексеевич Гиляровский",1934,"рассказ"
54,"Мелкий бес","Фёдор Кузьмич Сологуб",1905,"роман"
55,"Поднятая целина","Михаил Александрович Шолохов",1932,"роман"
56,"Бесы","Фёдор Михайлович Достоевский",1872,"роман"
57,"Детство, юность, отрочество","Лев Николаевич Толстой",1857,"автобиография"
58,"Воскресение","Лев Николаевич Толстой",1899,"роман"
59,"Мертвые души","Николай Васильевич Гоголь",1842,"поэма"
60,"Ревизор","Николай Васильевич Гоголь",1835,"комедия"
61,"Тарас Бульба","Николай Васильевич Гоголь",1835,"повесть"
62,"Вий (сборник)","Николай Васильевич Гоголь",1833,"повесть"
63,"Очарованный странник","Николай Семенович Лесков",1872,"повесть"
64,"Леди Макбет Мценского уезда","Николай Семенович Лесков",1864,"повесть"
65,"На ножах","Николай Семенович Лесков",1871,"роман"
66,"Левша","Николай Семенович Лесков",1881,"повесть"
67,"Обломов","Иван Александрович Гончаров",1859,"роман"
68,"Обрыв","Иван Александрович Гончаров",1869,"роман"
69,"Господа Головлевы","Михаил Евграфович Салтыков-Щедрин",1875,"роман"
70,"Рассказы (сборник)","Михаил Михайлович Зощенко",1927,"рассказ"
71,"Три толстяка","Юрий Карлович Олеша",1924,"роман-сказка"
